Date;Ano;Mês;Nome_mês;Trimestre;Dia;Dia_da_Semana;Tipo_dia
03/10/2019;2019;10;outubro;4;3;quinta-feira;DIA UTIL
04/10/2019;2019;10;outubro;4;4;sexta-feira;DIA UTIL
05/10/2019;2019;10;outubro;4;5;sábado;FINAL DE SEMANA
06/10/2019;2019;10;outubro;4;6;domingo;FINAL DE SEMANA
07/10/2019;2019;10;outubro;4;7;segunda-feira;DIA UTIL
08/10/2019;2019;10;outubro;4;8;terça-feira;DIA UTIL
09/10/2019;2019;10;outubro;4;9;quarta-feira;DIA UTIL
10/10/2019;2019;10;outubro;4;10;quinta-feira;DIA UTIL
11/10/2019;2019;10;outubro;4;11;sexta-feira;DIA UTIL
12/10/2019;2019;10;outubro;4;12;sábado;FERIADO
13/10/2019;2019;10;outubro;4;13;domingo;FINAL DE SEMANA
14/10/2019;2019;10;outubro;4;14;segunda-feira;DIA UTIL
15/10/2019;2019;10;outubro;4;15;terça-feira;DIA UTIL
16/10/2019;2019;10;outubro;4;16;quarta-feira;DIA UTIL
17/10/2019;2019;10;outubro;4;17;quinta-feira;DIA UTIL
18/10/2019;2019;10;outubro;4;18;sexta-feira;DIA UTIL
19/10/2019;2019;10;outubro;4;19;sábado;FINAL DE SEMANA
20/10/2019;2019;10;outubro;4;20;domingo;FINAL DE SEMANA
21/10/2019;2019;10;outubro;4;21;segunda-feira;DIA UTIL
22/10/2019;2019;10;outubro;4;22;terça-feira;DIA UTIL
23/10/2019;2019;10;outubro;4;23;quarta-feira;DIA UTIL
24/10/2019;2019;10;outubro;4;24;quinta-feira;DIA UTIL
25/10/2019;2019;10;outubro;4;25;sexta-feira;DIA UTIL
26/10/2019;2019;10;outubro;4;26;sábado;FINAL DE SEMANA
27/10/2019;2019;10;outubro;4;27;domingo;FINAL DE SEMANA
28/10/2019;2019;10;outubro;4;28;segunda-feira;DIA UTIL
29/10/2019;2019;10;outubro;4;29;terça-feira;DIA UTIL
30/10/2019;2019;10;outubro;4;30;quarta-feira;DIA UTIL
31/10/2019;2019;10;outubro;4;31;quinta-feira;DIA UTIL
01/11/2019;2019;11;novembro;4;1;sexta-feira;DIA UTIL
02/11/2019;2019;11;novembro;4;2;sábado;FERIADO
03/11/2019;2019;11;novembro;4;3;domingo;FINAL DE SEMANA
04/11/2019;2019;11;novembro;4;4;segunda-feira;DIA UTIL
05/11/2019;2019;11;novembro;4;5;terça-feira;DIA UTIL
06/11/2019;2019;11;novembro;4;6;quarta-feira;DIA UTIL
07/11/2019;2019;11;novembro;4;7;quinta-feira;DIA UTIL
08/11/2019;2019;11;novembro;4;8;sexta-feira;DIA UTIL
09/11/2019;2019;11;novembro;4;9;sábado;FINAL DE SEMANA
10/11/2019;2019;11;novembro;4;10;domingo;FINAL DE SEMANA
11/11/2019;2019;11;novembro;4;11;segunda-feira;DIA UTIL
12/11/2019;2019;11;novembro;4;12;terça-feira;DIA UTIL
13/11/2019;2019;11;novembro;4;13;quarta-feira;DIA UTIL
14/11/2019;2019;11;novembro;4;14;quinta-feira;DIA UTIL
15/11/2019;2019;11;novembro;4;15;sexta-feira;FERIADO
16/11/2019;2019;11;novembro;4;16;sábado;FINAL DE SEMANA
17/11/2019;2019;11;novembro;4;17;domingo;FINAL DE SEMANA
18/11/2019;2019;11;novembro;4;18;segunda-feira;DIA UTIL
19/11/2019;2019;11;novembro;4;19;terça-feira;DIA UTIL
20/11/2019;2019;11;novembro;4;20;quarta-feira;DIA UTIL
